State,Year,Annual_Rainfall
ANDAMAN & NICOBAR ISLANDS,1901,3373.2000000000003
ANDAMAN & NICOBAR ISLANDS,1902,3520.7
ANDAMAN & NICOBAR ISLANDS,1903,2957.4
ANDAMAN & NICOBAR ISLANDS,1904,3079.5999999999995
ANDAMAN & NICOBAR ISLANDS,1905,2566.7
ANDAMAN & NICOBAR ISLANDS,1906,2534.4
ANDAMAN & NICOBAR ISLANDS,1907,3347.9
ANDAMAN & NICOBAR ISLANDS,1908,3576.3999999999996
ANDAMAN & NICOBAR ISLANDS,1910,2899.4
ANDAMAN & NICOBAR ISLANDS,1911,2687.2000000000003
ANDAMAN & NICOBAR ISLANDS,1912,2960.4999999999995
ANDAMAN & NICOBAR ISLANDS,1913,2365.8
ANDAMAN & NICOBAR ISLANDS,1914,2957.8
ANDAMAN & NICOBAR ISLANDS,1915,2741.3
ANDAMAN & NICOBAR ISLANDS,1916,2937.4999999999995
ANDAMAN & NICOBAR ISLANDS,1917,2612.4
ANDAMAN & NICOBAR ISLANDS,1918,3275.0
ANDAMAN & NICOBAR ISLANDS,1919,2352.1000000000004
ANDAMAN & NICOBAR ISLANDS,1920,2943.2
ANDAMAN & NICOBAR ISLANDS,1921,2606.3999999999996
ANDAMAN & NICOBAR ISLANDS,1922,3554.2
ANDAMAN & NICOBAR ISLANDS,1923,3052.2000000000003
ANDAMAN & NICOBAR ISLANDS,1924,2330.7
ANDAMAN & NICOBAR ISLANDS,1925,2480.5
ANDAMAN & NICOBAR ISLANDS,1926,3282.2000000000007
ANDAMAN & NICOBAR ISLANDS,1927,2442.9
ANDAMAN & NICOBAR ISLANDS,1928,2998.3
ANDAMAN & NICOBAR ISLANDS,1929,2926.6
ANDAMAN & NICOBAR ISLANDS,1930,3075.1000000000004
ANDAMAN & NICOBAR ISLANDS,1931,2357.7
ANDAMAN & NICOBAR ISLANDS,1932,553.3
ANDAMAN & NICOBAR ISLANDS,1933,2987.5000000000005
ANDAMAN & NICOBAR ISLANDS,1934,3722.7999999999997
ANDAMAN & NICOBAR ISLANDS,1935,3154.0000000000005
ANDAMAN & NICOBAR ISLANDS,1936,3038.7
ANDAMAN & NICOBAR ISLANDS,1937,3591.1
ANDAMAN & NICOBAR ISLANDS,1938,3264.4
ANDAMAN & NICOBAR ISLANDS,1939,2782.5000000000005
ANDAMAN & NICOBAR ISLANDS,1940,3007.5000000000005
ANDAMAN & NICOBAR ISLANDS,1941,2898.2
ANDAMAN & NICOBAR ISLANDS,1942,46.6
ANDAMAN & NICOBAR ISLANDS,1946,2791.6000000000004
ANDAMAN & NICOBAR ISLANDS,1947,2894.8
ANDAMAN & NICOBAR ISLANDS,1949,3489.6
ANDAMAN & NICOBAR ISLANDS,1950,2422.2000000000003
ANDAMAN & NICOBAR ISLANDS,1951,3275.1
ANDAMAN & NICOBAR ISLANDS,1952,3079.8999999999996
ANDAMAN & NICOBAR ISLANDS,1953,2722.0
ANDAMAN & NICOBAR ISLANDS,1954,3449.0
ANDAMAN & NICOBAR ISLANDS,1955,3349.6
ANDAMAN & NICOBAR ISLANDS,1956,3079.8999999999996
ANDAMAN & NICOBAR ISLANDS,1957,2507.2
ANDAMAN & NICOBAR ISLANDS,1958,2807.4
ANDAMAN & NICOBAR ISLANDS,1959,3343.3999999999996
ANDAMAN & NICOBAR ISLANDS,1960,3025.1
ANDAMAN & NICOBAR ISLANDS,1961,3938.2000000000003
ANDAMAN & NICOBAR ISLANDS,1962,2959.7000000000003
ANDAMAN & NICOBAR ISLANDS,1963,2981.7000000000003
ANDAMAN & NICOBAR ISLANDS,1964,3054.8
ANDAMAN & NICOBAR ISLANDS,1965,3163.9000000000005
ANDAMAN & NICOBAR ISLANDS,1966,2701.2000000000007
ANDAMAN & NICOBAR ISLANDS,1967,3216.6
ANDAMAN & NICOBAR ISLANDS,1968,2762.7999999999997
ANDAMAN & NICOBAR ISLANDS,1969,2619.2000000000003
ANDAMAN & NICOBAR ISLANDS,1970,3370.8999999999996
ANDAMAN & NICOBAR ISLANDS,1971,2998.7000000000003
ANDAMAN & NICOBAR ISLANDS,1972,3323.1000000000004
ANDAMAN & NICOBAR ISLANDS,1973,2991.0
ANDAMAN & NICOBAR ISLANDS,1974,2962.1
ANDAMAN & NICOBAR ISLANDS,1975,3085.5999999999995
ANDAMAN & NICOBAR ISLANDS,1976,3276.0
ANDAMAN & NICOBAR ISLANDS,1977,2388.2000000000003
ANDAMAN & NICOBAR ISLANDS,1978,2712.4
ANDAMAN & NICOBAR ISLANDS,1979,1849.2999999999997
ANDAMAN & NICOBAR ISLANDS,1980,3625.2999999999997
ANDAMAN & NICOBAR ISLANDS,1981,3074.7
ANDAMAN & NICOBAR ISLANDS,1982,2384.5
ANDAMAN & NICOBAR ISLANDS,1983,2792.5000000000005
ANDAMAN & NICOBAR ISLANDS,1984,2820.2999999999997
ANDAMAN & NICOBAR ISLANDS,1985,2630.7999999999997
ANDAMAN & NICOBAR ISLANDS,1986,2187.8999999999996
ANDAMAN & NICOBAR ISLANDS,1987,2763.9
ANDAMAN & NICOBAR ISLANDS,1988,3323.1
ANDAMAN & NICOBAR ISLANDS,1989,2533.7000000000003
ANDAMAN & NICOBAR ISLANDS,1990,2183.2
ANDAMAN & NICOBAR ISLANDS,1991,2535.6
ANDAMAN & NICOBAR ISLANDS,1992,2098.6
ANDAMAN & NICOBAR ISLANDS,1993,2237.3999999999996
ANDAMAN & NICOBAR ISLANDS,1994,3263.1000000000004
ANDAMAN & NICOBAR ISLANDS,1995,3115.4999999999995
ANDAMAN & NICOBAR ISLANDS,1996,2996.9
ANDAMAN & NICOBAR ISLANDS,1997,2755.1
ANDAMAN & NICOBAR ISLANDS,1998,2846.4
ANDAMAN & NICOBAR ISLANDS,1999,2699.7
ANDAMAN & NICOBAR ISLANDS,2000,2763.1
ANDAMAN & NICOBAR ISLANDS,2001,3080.8
ANDAMAN & NICOBAR ISLANDS,2002,2620.1
ANDAMAN & NICOBAR ISLANDS,2003,2355.7
ANDAMAN & NICOBAR ISLANDS,2004,2460.0
ANDAMAN & NICOBAR ISLANDS,2005,2954.5
ANDAMAN & NICOBAR ISLANDS,2006,2404.7
ANDAMAN & NICOBAR ISLANDS,2007,2748.2
ANDAMAN & NICOBAR ISLANDS,2008,3374.8999999999996
ANDAMAN & NICOBAR ISLANDS,2009,2538.6
ANDAMAN & NICOBAR ISLANDS,2010,3157.1000000000004
ANDAMAN & NICOBAR ISLANDS,2011,3828.0000000000005
ANDAMAN & NICOBAR ISLANDS,2012,3497.6
ANDAMAN & NICOBAR ISLANDS,2013,3757.7000000000003
ANDAMAN & NICOBAR ISLANDS,2014,2622.5
ANDAMAN & NICOBAR ISLANDS,2015,2904.5
ARUNACHAL PRADESH,1916,3018.2
ARUNACHAL PRADESH,1917,3599.0
ARUNACHAL PRADESH,1918,5486.3
ARUNACHAL PRADESH,1919,4693.900000000001
ARUNACHAL PRADESH,1920,4106.7
ARUNACHAL PRADESH,1921,5691.400000000001
ARUNACHAL PRADESH,1922,4187.2
ARUNACHAL PRADESH,1923,3507.5
ARUNACHAL PRADESH,1924,4450.5
ARUNACHAL PRADESH,1925,4439.8
ARUNACHAL PRADESH,1926,3521.6000000000004
ARUNACHAL PRADESH,1927,5253.200000000001
ARUNACHAL PRADESH,1928,5272.700000000001
ARUNACHAL PRADESH,1929,4320.1
ARUNACHAL PRADESH,1930,4334.299999999999
ARUNACHAL PRADESH,1931,4872.099999999999
ARUNACHAL PRADESH,1932,4850.899999999999
ARUNACHAL PRADESH,1933,3773.4
ARUNACHAL PRADESH,1934,4575.6
ARUNACHAL PRADESH,1935,4173.499999999999
ARUNACHAL PRADESH,1936,4788.700000000001
ARUNACHAL PRADESH,1937,3375.1
ARUNACHAL PRADESH,1938,6129.1
ARUNACHAL PRADESH,1939,3898.6
ARUNACHAL PRADESH,1940,4099.5
ARUNACHAL PRADESH,1941,4220.2
ARUNACHAL PRADESH,1942,3828.2999999999997
ARUNACHAL PRADESH,1943,4326.599999999999
ARUNACHAL PRADESH,1944,3904.3
ARUNACHAL PRADESH,1945,3649.2
ARUNACHAL PRADESH,1946,4011.2000000000007
ARUNACHAL PRADESH,1947,4369.099999999999
ARUNACHAL PRADESH,1948,6331.1
ARUNACHAL PRADESH,1949,4874.8
ARUNACHAL PRADESH,1950,2391.2000000000003
ARUNACHAL PRADESH,1951,3354.2999999999997
ARUNACHAL PRADESH,1952,2396.1
ARUNACHAL PRADESH,1953,2580.4000000000005
ARUNACHAL PRADESH,1957,3776.0
ARUNACHAL PRADESH,1958,5063.499999999999
ARUNACHAL PRADESH,1959,4195.5
ARUNACHAL PRADESH,1960,3709.3999999999996
ARUNACHAL PRADESH,1961,3676.5
ARUNACHAL PRADESH,1962,4752.4
ARUNACHAL PRADESH,1963,4138.0
ARUNACHAL PRADESH,1964,4959.299999999999
ARUNACHAL PRADESH,1965,2196.7999999999997
ARUNACHAL PRADESH,1966,2209.7000000000003
ARUNACHAL PRADESH,1967,1668.5
ARUNACHAL PRADESH,1968,2138.9
ARUNACHAL PRADESH,1969,1877.8
ARUNACHAL PRADESH,1970,1973.4
ARUNACHAL PRADESH,1971,2184.6000000000004
ARUNACHAL PRADESH,1972,2281.3000000000006
ARUNACHAL PRADESH,1973,2457.6000000000004
ARUNACHAL PRADESH,1974,3064.0
ARUNACHAL PRADESH,1975,2213.4
ARUNACHAL PRADESH,1976,2419.6
ARUNACHAL PRADESH,1977,3774.4
ARUNACHAL PRADESH,1978,2531.0
ARUNACHAL PRADESH,1979,2773.7
ARUNACHAL PRADESH,1980,3215.4000000000005
ARUNACHAL PRADESH,1981,2790.8
ARUNACHAL PRADESH,1982,2779.4
ARUNACHAL PRADESH,1983,3335.1000000000004
ARUNACHAL PRADESH,1984,3278.1
ARUNACHAL PRADESH,1985,3266.4
ARUNACHAL PRADESH,1986,2495.6
ARUNACHAL PRADESH,1987,3433.2999999999993
ARUNACHAL PRADESH,1988,4155.4
ARUNACHAL PRADESH,1989,3281.7
ARUNACHAL PRADESH,1990,3604.0999999999995
ARUNACHAL PRADESH,1991,3434.5
ARUNACHAL PRADESH,1992,2706.7999999999997
ARUNACHAL PRADESH,1993,3348.899999999999
ARUNACHAL PRADESH,1994,2287.2999999999997
ARUNACHAL PRADESH,1995,3068.7999999999997
ARUNACHAL PRADESH,1996,2520.6
ARUNACHAL PRADESH,1997,2274.9000000000005
ARUNACHAL PRADESH,1998,3616.7
ARUNACHAL PRADESH,1999,2316.7000000000003
ARUNACHAL PRADESH,2000,2596.9
ARUNACHAL PRADESH,2001,2035.9
ARUNACHAL PRADESH,2002,2389.3
ARUNACHAL PRADESH,2003,2451.7
ARUNACHAL PRADESH,2004,2545.7999999999997
ARUNACHAL PRADESH,2005,2335.5000000000005
ARUNACHAL PRADESH,2006,2259.399999999999
ARUNACHAL PRADESH,2007,3020.6000000000004
ARUNACHAL PRADESH,2008,2244.4999999999995
ARUNACHAL PRADESH,2009,1750.0000000000002
ARUNACHAL PRADESH,2010,2855.5999999999995
ARUNACHAL PRADESH,2011,2193.5999999999995
ARUNACHAL PRADESH,2012,3440.4999999999995
ARUNACHAL PRADESH,2013,2042.8999999999999
ARUNACHAL PRADESH,2014,2403.0999999999995
ARUNACHAL PRADESH,2015,2767.5
ASSAM & MEGHALAYA,1901,2498.6999999999994
ASSAM & MEGHALAYA,1902,2952.1000000000004
ASSAM & MEGHALAYA,1903,2544.6000000000004
ASSAM & MEGHALAYA,1904,2664.2000000000003
ASSAM & MEGHALAYA,1905,2790.7000000000003
ASSAM & MEGHALAYA,1906,2663.1999999999994
ASSAM & MEGHALAYA,1907,2521.3
ASSAM & MEGHALAYA,1908,2277.8
ASSAM & MEGHALAYA,1909,2377.0
ASSAM & MEGHALAYA,1910,2887.2999999999997
ASSAM & MEGHALAYA,1911,3096.1000000000004
ASSAM & MEGHALAYA,1912,2743.4
ASSAM & MEGHALAYA,1913,2760.5
ASSAM & MEGHALAYA,1914,2343.9
ASSAM & MEGHALAYA,1915,3165.2000000000003
ASSAM & MEGHALAYA,1916,2601.0000000000005
ASSAM & MEGHALAYA,1917,2520.0
ASSAM & MEGHALAYA,1918,3106.7999999999997
ASSAM & MEGHALAYA,1919,2344.1
ASSAM & MEGHALAYA,1920,2623.7000000000003
ASSAM & MEGHALAYA,1921,2999.5
ASSAM & MEGHALAYA,1922,2262.0000000000005
ASSAM & MEGHALAYA,1923,2440.3999999999996
ASSAM & MEGHALAYA,1924,2691.6
ASSAM & MEGHALAYA,1925,2550.5
ASSAM & MEGHALAYA,1926,2511.6
ASSAM & MEGHALAYA,1927,2792.8999999999996
ASSAM & MEGHALAYA,1928,2634.1
ASSAM & MEGHALAYA,1929,2953.7999999999997
ASSAM & MEGHALAYA,1930,2550.8
ASSAM & MEGHALAYA,1931,2800.1
ASSAM & MEGHALAYA,1932,2888.6000000000004
ASSAM & MEGHALAYA,1933,2339.0999999999995
ASSAM & MEGHALAYA,1934,3074.8000000000006
ASSAM & MEGHALAYA,1935,2678.5
ASSAM & MEGHALAYA,1936,2671.2999999999997
ASSAM & MEGHALAYA,1937,2324.6000000000004
ASSAM & MEGHALAYA,1938,2786.5
ASSAM & MEGHALAYA,1939,2401.5
ASSAM & MEGHALAYA,1940,2451.7
ASSAM & MEGHALAYA,1941,2709.4
ASSAM & MEGHALAYA,1942,2677.1000000000004
ASSAM & MEGHALAYA,1943,2703.7999999999997
ASSAM & MEGHALAYA,1944,2524.3999999999996
ASSAM & MEGHALAYA,1945,2665.7
ASSAM & MEGHALAYA,1946,2679.5000000000005
ASSAM & MEGHALAYA,1947,2643.2
ASSAM & MEGHALAYA,1948,3185.5
ASSAM & MEGHALAYA,1949,2983.3
ASSAM & MEGHALAYA,1950,2392.4
ASSAM & MEGHALAYA,1951,2613.8999999999996
ASSAM & MEGHALAYA,1952,2851.2999999999993
ASSAM & MEGHALAYA,1953,2560.0
ASSAM & MEGHALAYA,1954,2859.2000000000003
