Year,Avg_Temperature
1901,28.99583333333334
1902,29.218333333333334
1903,28.62833333333333
1904,28.4875
1905,28.528333333333332
1906,28.7175
1907,28.77416666666667
1908,28.830000000000002
1909,28.509166666666662
1910,28.52916666666667
1911,28.60833333333333
1912,28.9475
1913,28.680000000000003
1914,28.663333333333338
1915,28.941666666666663
1916,28.816666666666663
1917,28.135833333333334
1918,28.65833333333333
1919,28.65833333333333
1920,28.757499999999993
1921,29.056666666666672
1922,28.958333333333332
1923,28.74166666666667
1924,28.78916666666667
1925,28.6675
1926,28.701666666666668
1927,28.586666666666662
1928,28.97583333333333
1929,28.763333333333335
1930,28.65083333333334
1931,29.147499999999997
1932,29.095833333333335
1933,28.49166666666667
1934,29.025833333333328
1935,28.81833333333333
1936,28.709166666666665
1937,28.701666666666664
1938,28.69583333333333
1939,28.853333333333335
1940,28.883333333333336
1941,29.4825
1942,29.0925
1943,28.828333333333333
1944,28.899999999999995
1945,28.974999999999994
1946,29.353333333333335
1947,29.106666666666666
1948,28.718333333333337
1949,28.890833333333333
1950,28.49
1951,29.11333333333333
1952,29.162499999999994
1953,29.442500000000006
1954,28.9225
1955,28.75666666666667
1956,28.624166666666667
1957,28.644999999999996
1958,29.336666666666673
1959,29.024999999999995
1960,29.31
1961,28.721666666666668
1962,28.888333333333332
1963,29.036666666666665
1964,29.092499999999998
1965,29.15583333333333
1966,29.405833333333337
1967,29.144166666666674
1968,29.071666666666673
1969,29.6125
1970,29.468333333333334
1971,29.154166666666665
1972,29.31583333333333
1973,29.44
1974,29.26
1975,28.89166666666667
1976,29.26666666666667
1977,29.406666666666666
1978,29.2325
1979,29.63166666666667
1980,29.58333333333333
1981,29.31583333333333
1982,29.11333333333333
1983,29.11583333333333
1984,29.27666666666666
1985,29.606666666666666
1986,29.340833333333336
1987,29.735
1988,29.567500000000006
1989,29.1975
1990,29.155000000000005
1991,29.331666666666663
1992,29.2375
1993,29.547500000000003
1994,29.4575
1995,30.186666666666664
1996,29.6825
1997,29.179166666666664
1998,29.65583333333333
1999,29.80916666666667
2000,29.735
2001,30.05
2002,30.3325
2003,29.728333333333335
2004,29.840000000000003
2005,29.599166666666672
2006,30.011666666666667
2007,29.84416666666667
2008,29.637500000000003
2009,30.298333333333336
2010,30.133333333333336
2011,29.81416666666667
2012,29.812499999999996
2013,29.80583333333333
2014,29.723333333333333
2015,29.895000000000007
2016,31.63333333333334
2017,31.417500000000004
